ResponseID,tradicional_fei,tradicional_poli,tradicional_maua,tradicional_insper,tradicional_sc,tradicional_mack,tradicional_ita,inovacao_fei,inovacao_poli,inovacao_maua,inovacao_insper,inovacao_sc,inovacao_mack,inovacao_ita,conhe_tech_fei,conhe_tech_poli,conhe_tech_maua,conhe_tech_insper,conhe_tech_sc,conhe_tech_mack,conhe_tech_ita,reconh_merca_fei,reconh_merca_poli,reconh_merca_maua,reconh_merca_insper,reconh_merca_sc,reconh_merca_mack,reconh_merca_ita,empreende_fei,empreende_poli,empreende_maua,empreende_insper,empreende_sc,empreende_mack,empreende_ita,custo_bene_fei,custo_bene_poli,custo_bene_maua,custo_bene_insper,custo_bene_sc,custo_bene_mack,custo_bene_ita,infra_fei,infra_poli,infra_maua,infra_insper,infra_sc,infra_mack,infra_ita,corp_docen_fei,corp_docen_poli,corp_docen_maua,corp_docen_insper,corp_docen_sc,corp_docen_mack,corp_docen_ita,rel_interpess_fei,rel_interpess_poli,rel_interpess_maua,rel_interpess_insper,rel_interpess_sc,rel_interpess_mack,rel_interpess_ita,rel_profiss_fei,rel_profiss_poli,rel_profiss_maua,rel_profiss_insper,rel_profiss_sc,rel_profiss_mack,rel_profiss_ita,conh_alem_tech_fei,conh_alem_tech_poli,conh_alem_tech_maua,conh_alem_tech_insper,conh_alem_tech_sc,conh_alem_tech_mack,conh_alem_tech_ita,demas_regra_fei,demas_regra_poli,demas_regra_maua,demas_regra_insper,demas_regra_sc,demas_regra_mack,demas_regra_ita,pref_maua,pref_poli,pref_mcak,pref_insper,pref_ita,pref_fei,pref_sc
R_3maS69k0WbFScK7,2,7,4,5,6,3,6,4,4,4,7,4,4,2,4,7,6,7,4,4,7,2,7,3,6,5,3,7,4,6,3,7,5,3,1,3,7,3,6,7,3,7,3,5,5,7,5,4,7,4,5,4,6,5,3,7,4,6,5,7,4,6,1,5,6,6,6,4,6,1,4,5,4,5,3,4,1,2,2,3,2,4,2,7,4,7,3,6,5,2,1
R_3Vi03B6KCB53mwh,3,7,4,1,5,2,6,6,5,4,7,3,2,1,1,3,2,5,4,6,7,1,2,3,7,4,5,6,2,3,1,7,4,5,6,5,4,3,7,2,1,6,6,1,5,7,3,2,4,1,2,3,7,4,5,6,1,2,5,7,4,3,6,5,6,3,7,2,1,4,4,1,5,7,2,3,6,2,6,3,7,5,4,1,2,5,1,7,1,1,3
R_9Rhb7e4MqPQNtkt,4,,,1,5,2,7,4,,,7,5,2,5,4,,,4,5,2,7,4,,,1,5,2,,2,,,7,5,2,,4,,,5,5,2,,,,,7,5,2,,,,,7,5,2,,,,,6,5,2,,,,,1,5,2,,,,,7,5,2,,,,,3,5,2,,3,6,1,5,7,4,7
R_3lzgzFzowM1byM4,5,7,5,1,5,5,5,6,6,6,7,6,6,6,6,6,6,6,6,6,6,5,7,5,6,6,5,7,3,3,3,7,3,3,3,4,7,4,5,7,4,7,5,5,5,7,5,5,5,7,7,7,7,7,7,7,3,3,3,7,3,3,3,5,6,6,7,5,5,5,3,3,3,6,3,3,3,4,4,4,4,4,4,4,2,4,1,6,7,5,3
R_2cC42IfZ7C33KUc,4,7,4,3,3,4,7,3,4,3,7,3,3,4,5,7,4,6,4,4,7,5,7,4,7,4,5,7,4,6,3,7,3,4,6,3,7,2,7,2,3,7,3,5,4,7,2,3,5,5,7,4,5,4,4,7,3,6,4,7,3,5,6,6,7,5,7,5,5,7,6,6,4,7,5,5,7,5,6,3,5,3,2,7,1,7,1,7,4,1,1
R_1pzgreAWuu3KttI,4,7,4,6,7,6,7,4,5,4,7,5,5,6,6,7,6,5,7,6,7,4,7,4,6,7,5,7,4,5,4,7,6,4,7,3,7,3,6,7,5,7,6,5,6,7,5,6,7,3,7,3,7,7,6,7,5,6,3,7,7,4,6,4,6,4,7,7,3,6,4,7,2,7,6,3,7,3,3,3,5,3,3,7,2,7,2,6,7,2,4
R_sRuSAaQI8CXmAil,5,7,5,1,5,2,7,3,3,4,7,3,2,4,4,6,5,4,5,3,6,4,7,5,6,5,2,7,1,2,2,7,2,2,2,4,7,3,6,7,2,6,4,6,5,7,5,4,6,4,7,4,7,7,3,7,3,5,5,6,5,3,4,4,7,5,6,6,6,6,4,5,5,7,5,3,5,3,3,3,3,3,3,3,2,7,1,6,4,3,5
R_eQVOAYRknVqSFW1,5,5,5,1,5,5,7,5,4,5,7,4,4,7,5,7,5,4,5,5,7,5,7,5,7,6,4,7,5,4,5,7,5,5,7,4,7,4,5,7,4,7,5,4,5,7,4,4,7,6,7,6,6,6,4,7,4,5,5,6,5,5,5,5,5,5,7,5,5,6,6,5,6,7,5,5,7,4,5,5,2,5,5,7,2,5,1,7,6,3,4
R_1cY7nqMSCHSSPbX,5,7,5,2,5,3,5,4,5,4,7,2,1,5,6,6,6,6,6,3,5,5,7,4,4,5,2,6,3,3,4,7,2,2,2,1,7,2,4,4,1,4,5,6,5,7,5,4,3,6,7,4,5,4,5,6,3,4,4,6,3,4,1,3,5,4,5,5,4,2,3,6,3,6,5,3,2,2,3,4,2,1,5,7,2,7,1,5,6,3,4
R_1gC49aWHarAcrRO,6,7,7,2,5,6,7,2,2,2,7,2,3,1,6,6,6,4,6,2,7,5,5,4,5,6,3,7,2,2,2,6,2,3,1,3,7,3,5,7,3,7,2,1,2,7,2,4,4,5,5,5,5,5,5,5,2,2,2,7,2,2,1,2,5,1,7,4,4,4,2,2,2,6,3,4,4,6,6,6,2,2,4,1,3,5,1,7,6,2,4
R_2wnoxYBTx1kaxhB,5,7,5,1,7,3,5,6,1,5,7,2,2,2,6,7,3,4,7,2,7,5,7,5,6,7,3,7,2,1,2,7,2,2,1,6,7,6,7,7,5,7,4,2,4,6,4,2,3,4,4,4,4,4,4,4,4,1,5,7,3,2,1,4,1,5,7,3,2,1,3,1,5,7,4,3,1,4,7,3,2,6,4,7,4,4,1,7,1,5,6
R_DS0cyii3mazUHqp,5,7,5,1,6,5,7,4,2,5,7,3,5,1,5,6,5,6,4,5,7,5,5,5,5,4,4,6,3,2,3,6,2,3,1,4,7,4,4,6,5,5,4,3,6,7,5,4,5,4,6,6,6,5,3,5,5,2,5,7,2,4,1,4,6,5,6,6,4,7,4,2,4,7,5,4,1,3,1,4,4,3,2,7,6,6,2,7,2,5,2
R_2TYJOcmVGGXlGDq,6,7,6,1,5,3,6,1,1,1,7,1,1,1,2,2,2,7,2,4,3,3,7,3,7,3,1,5,2,2,2,7,2,4,4,1,7,1,3,7,1,7,1,6,4,7,6,1,6,6,7,6,6,6,1,7,2,2,2,7,5,1,7,1,2,1,7,2,1,3,1,1,1,1,5,1,1,1,1,1,1,7,1,1,2,7,1,5,6,3,4
R_1IK95YErkdGWHjU,7,7,7,1,5,5,7,4,4,5,7,4,3,4,6,5,6,7,5,4,7,6,7,6,5,7,5,7,4,4,4,7,4,2,3,3,7,3,4,7,2,7,5,6,5,7,7,5,7,5,7,6,7,7,5,7,5,2,5,7,2,2,2,5,5,5,7,4,3,7,4,4,4,7,4,3,4,3,4,3,1,3,5,1,3,7,1,6,5,4,2
R_2zSbnLtWI9k1C8X,7,7,5,1,6,1,7,3,2,4,7,2,1,6,6,7,6,4,7,1,7,6,7,6,5,5,1,7,4,4,4,6,3,1,3,3,7,3,5,7,1,7,7,2,7,7,2,1,7,7,4,7,6,4,1,7,4,4,3,5,4,1,1,5,4,5,6,5,1,5,3,3,3,5,3,1,1,6,6,6,5,6,1,7,2,6,1,3,7,4,5
R_z1rqEwljN20hzUJ,6,7,6,1,5,5,7,3,3,3,7,3,3,6,6,7,6,5,5,6,7,6,7,6,7,5,5,7,2,3,2,7,3,2,4,4,6,5,7,4,3,7,5,3,5,7,3,4,6,5,6,5,7,4,3,7,1,1,1,7,1,3,1,4,4,5,7,4,4,3,4,5,3,7,5,3,5,7,7,7,2,5,5,7,5,2,7,1,3,4,6
R_22KsCgx97s0GSsK,6,7,6,1,6,3,6,3,3,4,7,4,4,1,5,7,4,3,7,4,7,5,6,4,7,5,3,6,4,4,4,7,4,4,2,4,7,4,5,7,2,7,6,4,5,7,5,5,4,4,4,4,6,4,4,4,4,3,4,7,4,4,1,4,4,4,7,4,2,1,4,2,4,7,4,4,1,4,4,4,4,4,4,7,4,6,1,7,2,3,5
R_O273K07fPlsh3Xj,4,7,5,1,3,2,6,5,1,6,7,3,4,2,5,3,6,7,3,4,2,4,6,5,1,3,2,7,4,3,5,7,2,6,1,4,7,5,6,3,1,2,4,4,5,7,3,6,3,5,7,5,7,5,6,7,6,5,5,7,4,5,1,3,3,4,7,4,6,1,3,2,3,7,5,2,1,6,4,5,6,5,4,4,3,2,4,7,2,4,3
R_PGnxFeESvcnt2Pn,6,7,6,1,7,7,7,3,3,3,5,3,3,3,6,7,6,1,7,6,7,5,7,5,3,7,4,7,1,1,1,3,1,1,1,5,7,5,2,7,4,7,6,7,6,4,7,6,7,7,7,7,6,7,7,7,4,3,4,5,3,4,1,4,4,4,4,4,4,4,7,5,6,7,5,6,6,4,4,4,3,4,4,7,4,7,4,1,1,6,1
R_1EgRa3jqO1fUGjX,5,7,6,1,6,1,7,3,3,3,7,3,3,1,7,7,7,1,7,1,7,5,7,6,7,4,1,7,2,7,2,7,4,2,1,1,7,1,1,7,1,7,4,4,4,7,4,4,4,4,7,4,7,4,4,7,1,1,1,7,1,1,1,1,1,1,7,4,2,1,1,1,1,7,1,3,5,7,7,7,1,7,7,7,4,7,6,5,3,2,1
